epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.5506579875946045,0.0020000000949949026,0.43047741055488586,0.5,0.342969685792923
1,0.6617609858512878,0.0017888889415189624,0.25682052969932556,0.5248799920082092,0.27388954162597656
2,0.6737769842147827,0.0015777777880430222,0.2327103465795517,0.5934200286865234,0.2573931813240051
3,0.6784570217132568,0.001366666634567082,0.22679351270198822,0.5796899795532227,0.2658923864364624
4,0.682545006275177,0.0011555555975064635,0.22197884321212769,0.6068699955940247,0.2609780430793762
5,0.6853100061416626,0.0009444444440305233,0.2184472531080246,0.6775599718093872,0.22163085639476776
6,0.6866080164909363,0.000733333348762244,0.21510125696659088,0.6577500104904175,0.22879433631896973
7,0.688979983329773,0.0005222221952863038,0.2117682546377182,0.6802099943161011,0.2165144681930542
8,0.691457986831665,0.00031111110001802444,0.20806699991226196,0.6792100071907043,0.21433579921722412
9,0.6957780122756958,9.999999747378752e-05,0.20407170057296753,0.6846399903297424,0.21003198623657227
10,0.6821339726448059,0.0020000000949949026,0.2282811403274536,0.6641499996185303,0.24070090055465698
11,0.6861739754676819,0.0017888889415189624,0.22168028354644775,0.659309983253479,0.237049400806427
12,0.6878209710121155,0.0015777777880430222,0.21807034313678741,0.6571199893951416,0.23125870525836945
13,0.6893280148506165,0.001366666634567082,0.21493938565254211,0.6916099786758423,0.21501386165618896
14,0.6912469863891602,0.0011555555975064635,0.21184885501861572,0.6906800270080566,0.2138630449771881
