epoch,acc,loss,val_acc,val_loss
0,0.4999290108680725,0.2507326006889343,0.499675989151001,0.25056973099708557
1,0.49966299533843994,0.2505173981189728,0.500648021697998,0.25045639276504517
2,0.49999698996543884,0.25043779611587524,0.5000280141830444,0.25042015314102173
3,0.5008000135421753,0.2504158020019531,0.5004000067710876,0.25042957067489624
4,0.5001959800720215,0.25041186809539795,0.4998199939727783,0.2504127621650696
5,0.4994010031223297,0.25037550926208496,0.499891996383667,0.25034835934638977
6,0.4998469948768616,0.2503739595413208,0.4986079931259155,0.2503775656223297
7,0.5005239844322205,0.2503838837146759,0.4992760121822357,0.25036928057670593
8,0.5010470151901245,0.25038737058639526,0.5007799863815308,0.2503897547721863
9,0.5000839829444885,0.25043269991874695,0.500756025314331,0.2504468262195587
