epoch,acc,loss,val_acc,val_loss
0,0.5657179951667786,0.26315417885780334,0.5764480233192444,0.25042611360549927
1,0.5847619771957397,0.24796302616596222,0.5819960236549377,0.24931906163692474
2,0.6115319728851318,0.2443387508392334,0.6132240295410156,0.24709470570087433
3,0.6198940277099609,0.2428164780139923,0.5602759718894958,0.26189836859703064
4,0.6299539804458618,0.24075835943222046,0.632148027420044,0.23994475603103638
5,0.6337460279464722,0.23940570652484894,0.6308119893074036,0.24154366552829742
6,0.6371979713439941,0.23827512562274933,0.631775975227356,0.23914189636707306
7,0.6384999752044678,0.23732206225395203,0.6387519836425781,0.23750300705432892
8,0.6395040154457092,0.23699261248111725,0.5761799812316895,0.2653832733631134
9,0.6430529952049255,0.23612625896930695,0.6366040110588074,0.23898383975028992
