Best bit: 67  | silhouette_true=0.46393
bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,0.019235530868172646,0.32122349739074707,4696.48779296875,0.01483426708728075
1,0.055486906319856644,0.3537513315677643,5239.5927734375,0.017384372651576996
2,0.04439361020922661,0.32109570503234863,5134.5517578125,0.016126960515975952
3,0.021650921553373337,0.31785547733306885,4564.8125,0.014349476434290409
4,0.014095401391386986,0.3121839165687561,4977.8369140625,0.015385793522000313
5,0.041989848017692566,0.31381329894065857,4978.953125,0.015558185055851936
6,0.09479114413261414,0.33163708448410034,6304.6708984375,0.01944769360125065
7,0.0502408929169178,0.29948890209198,6117.447265625,0.01859603077173233
8,0.01638219691812992,0.3203149437904358,4875.708984375,0.015383599326014519
9,0.06005048751831055,0.3221507668495178,5178.4873046875,0.016416309401392937
10,0.08386427909135818,0.3605000972747803,6557.4951171875,0.02085072547197342
11,0.05503953993320465,0.33998408913612366,6023.5771484375,0.01880650222301483
12,0.04704168438911438,0.31735333800315857,5817.98193359375,0.01771649345755577
13,0.09020526707172394,0.3408011794090271,7045.7265625,0.021373987197875977
14,0.12244200706481934,0.4115979075431824,7635.50634765625,0.0247807614505291
15,0.10084826499223709,0.3993569016456604,6843.6494140625,0.022269072011113167
16,0.050039224326610565,0.3319413363933563,4816.09228515625,0.01550356950610876
17,0.18995550274848938,0.4334489703178406,6403.259765625,0.024591516703367233
18,0.14763446152210236,0.37066197395324707,5731.298828125,0.019750334322452545
19,0.13835343718528748,0.3656231462955475,5663.48291015625,0.01940128579735756
20,0.15656401216983795,0.3766734004020691,5880.41162109375,0.020471064373850822
21,0.14516925811767578,0.33229881525039673,5386.6943359375,0.017522800713777542
22,0.1422313004732132,0.35584697127342224,6084.1796875,0.02027445286512375
23,0.16323821246623993,0.35084518790245056,5837.75244140625,0.01949012093245983
24,0.09249764680862427,0.33283016085624695,5062.8564453125,0.01642705127596855
25,0.0908362939953804,0.32996654510498047,4961.78564453125,0.01601862534880638
26,0.18474917113780975,0.353740930557251,6336.869140625,0.020751316100358963
27,0.17469865083694458,0.35558685660362244,6082.6376953125,0.020228559151291847
28,0.11228182166814804,0.3315730690956116,5743.7880859375,0.018310148268938065
29,0.08952049911022186,0.34191274642944336,5601.1982421875,0.01788494735956192
30,0.1332852691411972,0.34899261593818665,6301.8837890625,0.020207222551107407
31,0.12420686334371567,0.3371385633945465,5980.83984375,0.01906989887356758
32,0.05242564156651497,0.3294394612312317,5012.595703125,0.01608261466026306
33,0.09648347645998001,0.3406008780002594,5318.75,0.017455657944083214
34,0.10681074112653732,0.33388203382492065,4911.87353515625,0.015975065529346466
35,0.08363202959299088,0.33163443207740784,4971.525390625,0.016065649688243866
36,0.11920113861560822,0.3360849618911743,5524.5810546875,0.017773818224668503
37,0.20831181108951569,0.3890160024166107,6666.68408203125,0.023507140576839447
38,0.2945128083229065,0.5016356706619263,7930.623046875,0.035565271973609924
