,Difference,Weighted score
72,"({'0xb804c031c4aa0892'}, {'0x1818c040521088664de3'})",{3.2547}
73,"({'0x4c8ed4764b811e7a'}, {'0x9fd460011b50a34f07e3'})",{3.2553}
74,"({'0x6c4cca8c408458fc'}, {'0xde38ac815a650b8e0d1f'})",{3.2622}
75,"({'0xf840113701005119'}, {'0x90b009d5393200001fe4'})",{3.2644}
76,"({'0x4804431540851184'}, {'0x14a8ed004a3588244dc6'})",{3.265}
77,"({'0xac4050060132100e'}, {'0x8810e08518a0084045dd'})",{3.265}
78,"({'0xd804181544039012'}, {'0xa304044538100025e20'})",{3.265}
79,"({'0xe01c410344310016'}, {'0x84a0c8c5490300441e3c'})",{3.2669}
80,"({'0x9408d17050b909e8'}, {'0x5c084403439508223682'})",{3.27}
81,"({'0x6c005302c4930112'}, {'0x1ca88940519088660713'})",{3.2725}
82,"({'0xc00440114400008a'}, {'0x1000040048b1082043e9'})",{3.2781}
83,"({'0xc0cc14595aa596c'}, {'0xcc08089573e682202848'})",{3.2784}
84,"({'0x504048798428c094'}, {'0xd0b08cd16ad2aac86723'})",{3.2841}
85,"({'0x88180380448b1101'}, {'0x4808081120270260a9b5'})",{3.2847}
86,"({'0x4848199a51338177'}, {'0x8980466418020ac78fd'})",{3.2875}
87,"({'0x404501080a10014'}, {'0x141808c551900064082f'})",{3.2884}
88,"({'0x9c0010064403101e'}, {'0x5c20c5441b30804219cc'})",{3.2916}
89,"({'0x4dca5295b84d4a42'}, {'0x34511a4a89144443174f'})",{3.3022}
90,"({'0x457450a7f35e8103'}, {'0x9297cc580d8aeb934c5e'})",{3.3038}
91,"({'0x104c5a8f01b690e3'}, {'0x1830e9440bb58888353b'})",{3.3066}
92,"({'0xd840011305020114'}, {'0x5c90e440099008005227'})",{3.3094}
93,"({'0x4870aad290170e69'}, {'0x53c0d6c76714d2dfab09'})",{3.3109}
94,"({'0x1c4450000180008e'}, {'0x1418cc0058910066062d'})",{3.3112}
95,"({'0x3c088a3ec49d9844'}, {'0x1408c104103180e84e55'})",{3.3116}
96,"({'0x40445005c190001e'}, {'0x698ccc41b8000464f0b'})",{3.3138}
97,"({'0x8c00402205304002'}, {'0x4100c0000000000181e'})",{3.3141}
98,"({'0xc44403644b35012'}, {'0xc3804404b22806415b1'})",{3.3191}
99,"({'0x1c04012244304006'}, {'0x8c20ec4009a0004206bc'})",{3.3209}
100,"({'0xc844101181228086'}, {'0x88b0a085492100025a56'})",{3.3247}
101,"({'0x44003001314008'}, {'0x80382800118080600ef0'})",{3.3394}
102,"({'0x1c40081001038012'}, {'0x8ca8444459a100600325'})",{3.3422}
103,"({'0xdc40c8ea018a889f'}, {'0x549040450215288e4e7f'})",{3.3638}
104,"({'0x4188313c129590a'}, {'0xc828c48548e0802600e9'})",{3.3647}
105,"({'0x48fafac1df2b0bbd'}, {'0x32dfe2216f3686f71821'})",{3.3653}
106,"({'0xc044400304010008'}, {'0x14900400483008004597'})",{3.3672}
107,"({'0x3448500541011098'}, {'0x4428a4c4402180024574'})",{3.3678}
108,"({'0x9004400041000004'}, {'0x8830e04009a000421ea2'})",{3.3688}
109,"({'0x4c7c4e6623b96790'}, {'0x82b987c32c46367af092'})",{3.3753}
110,"({'0x40100441011008'}, {'0x90080000431000221892'})",{3.3825}
111,"({'0x100440100103001c'}, {'0x800e04041a0000017b0'})",{3.3847}
112,"({'0xd004400344810004'}, {'0x1410ec0042910026461d'})",{3.3894}
113,"({'0xc004401100010088'}, {'0x9280040048b1000047d9'})",{3.3969}
