,Difference,Weighted score
156,{'0xf6898cd9'},{11.0531}
157,{'0xd89bf6ea'},{11.0538}
158,{'0x8011b6f1'},{11.0544}
159,{'0x4e44bd53'},{11.0544}
160,{'0xe87ca337'},{11.055}
161,{'0xfce92287'},{11.0556}
162,{'0x164bbde4'},{11.0575}
163,{'0x1f4295c3'},{11.0581}
164,{'0xc05abfb9'},{11.0581}
165,{'0x30cf69f6'},{11.0638}
166,{'0xe05d7114'},{11.0662}
167,{'0x5a99250a'},{11.0669}
168,{'0x631bc186'},{11.0706}
169,{'0xf01fd323'},{11.0719}
170,{'0xceceb890'},{11.0731}
171,{'0xe1728e98'},{11.0744}
172,{'0xeb8f59a2'},{11.0744}
173,{'0xa1586cb6'},{11.075}
174,{'0xbc8903ee'},{11.075}
175,{'0x5e24d550'},{11.0781}
176,{'0xab390753'},{11.0788}
177,{'0xa5795bb9'},{11.08}
178,{'0x11191c7e'},{11.08}
179,{'0xe294afda'},{11.0819}
180,{'0xafe577f1'},{11.0819}
181,{'0x56498004'},{11.0825}
182,{'0xde86e358'},{11.0844}
183,{'0x3c3d2186'},{11.085}
184,{'0xf2518d6b'},{11.085}
185,{'0xa5d2e50f'},{11.0888}
186,{'0xa9ade294'},{11.0919}
187,{'0xd1bde66e'},{11.0931}
188,{'0xcc871503'},{11.0931}
189,{'0x395b3eeb'},{11.0938}
190,{'0x5010b3fe'},{11.0975}
191,{'0x34e84966'},{11.0987}
192,{'0x729fc7f0'},{11.1006}
193,{'0x1178e422'},{11.1013}
194,{'0x4fbf'},{11.105}
195,{'0x731b1a51'},{11.1056}
196,{'0xb1d2255f'},{11.1094}
197,{'0xe8a404a7'},{11.11}
198,{'0x2f48a555'},{11.1119}
199,{'0xb88a3067'},{11.1131}
200,{'0xca9736e9'},{11.115}
201,{'0xeeb9cac6'},{11.1169}
202,{'0x2a3affe4'},{11.1206}
203,{'0xf858742'},{11.1206}
204,{'0xe7f82e74'},{11.1275}
205,{'0xcf6d66a9'},{11.1281}
206,{'0xc5cad118'},{11.1319}
207,{'0xd7efe424'},{11.1338}
208,{'0x71184d9'},{11.135}
209,{'0x9f56d43f'},{11.1369}
210,{'0x3d6ff820'},{11.1381}
211,{'0x9c8903c6'},{11.1394}
212,{'0x7b250131'},{11.1538}
213,{'0xe748b7ba'},{11.1544}
214,{'0x5daa753a'},{11.1581}
215,{'0x4684d3b6'},{11.1581}
216,{'0xb0f7f64a'},{11.1581}
217,{'0x34b08660'},{11.1606}
218,{'0x1a3dc79'},{11.1619}
219,{'0x9bb23e46'},{11.165}
220,{'0x19be5645'},{11.1663}
221,{'0x5243d15c'},{11.1706}
222,{'0xb40931ee'},{11.1719}
223,{'0x6f44a047'},{11.1719}
224,{'0x1630db7e'},{11.1744}
225,{'0x69649f74'},{11.175}
226,{'0xd498c0a6'},{11.1794}
227,{'0xfe4c3849'},{11.1912}
228,{'0xd7330966'},{11.1938}
229,{'0xe6cae0b2'},{11.1956}
230,{'0x69d12d1b'},{11.1963}
231,{'0x31755e6c'},{11.1981}
232,{'0x13eecfb9'},{11.1988}
233,{'0x9a29f3af'},{11.1994}
234,{'0xe9ab92a2'},{11.2031}
235,{'0x7693'},{11.205}
236,{'0xfc88b668'},{11.2069}
237,{'0x5a5863f8'},{11.2069}
238,{'0xa6be8c7c'},{11.2075}
239,{'0xa291c43f'},{11.2081}
240,{'0x371809d2'},{11.2088}
241,{'0x8dd9d6cf'},{11.2113}
242,{'0xf3ba5672'},{11.2138}
243,{'0x926e8941'},{11.215}
244,{'0xbf5ab5b5'},{11.2163}
245,{'0x11d05620'},{11.2213}
246,{'0xfd99f330'},{11.2213}
247,{'0xde1548c8'},{11.2244}
248,{'0xfdd0'},{11.2269}
249,{'0xbd539e39'},{11.2275}
250,{'0xce338261'},{11.2281}
251,{'0x12f0e72a'},{11.2325}
252,{'0x8a01d768'},{11.2331}
253,{'0xf278df69'},{11.2338}
254,{'0x32dbe098'},{11.2388}
255,{'0xb933e833'},{11.2406}
256,{'0x1045926b'},{11.2462}
257,{'0xb1b90fe8'},{11.2544}
258,{'0x7227d790'},{11.2581}
259,{'0xf479385'},{11.2606}
260,{'0xd11d7701'},{11.2612}
261,{'0x8d022c8e'},{11.2644}
262,{'0xa3970683'},{11.265}
263,{'0x11e7ada4'},{11.2663}
264,{'0x7d5b233d'},{11.2681}
265,{'0x706df965'},{11.2719}
266,{'0xd32c8ab0'},{11.2725}
267,{'0x4b07923b'},{11.2756}
268,{'0x6fdec151'},{11.2769}
269,{'0x8eacdc5a'},{11.2825}
270,{'0x6460c6db'},{11.2831}
271,{'0xcde6b0eb'},{11.2994}
272,{'0x41c13211'},{11.3013}
273,{'0x835ef693'},{11.3031}
274,{'0x1aa3f52c'},{11.3075}
275,{'0x162855af'},{11.3094}
276,{'0xf18200a7'},{11.315}
277,{'0x600d9683'},{11.3156}
278,{'0x10db7058'},{11.3169}
279,{'0xd079f16d'},{11.3194}
280,{'0xad01acbb'},{11.3231}
281,{'0xe43280c0'},{11.3238}
282,{'0x5fb33ef2'},{11.3269}
283,{'0x2a4d8e90'},{11.3294}
284,{'0xb62cfba2'},{11.3363}
285,{'0x86decc3f'},{11.3381}
286,{'0xd5df3989'},{11.34}
287,{'0xeb332b'},{11.3406}
288,{'0xf81267a6'},{11.3406}
289,{'0xdb9ae070'},{11.3425}
290,{'0xed98b8ed'},{11.3456}
291,{'0x716dfb65'},{11.3481}
292,{'0x15b6a446'},{11.3481}
293,{'0x3292205b'},{11.3544}
294,{'0x2cf0d3a4'},{11.3575}
295,{'0x3e62592b'},{11.3613}
296,{'0x2c640fb2'},{11.3625}
297,{'0x68a88ff1'},{11.3625}
298,{'0xa2be8c3c'},{11.3675}
299,{'0x971d8065'},{11.3738}
300,{'0xf5bf99dc'},{11.3756}
301,{'0x498f0ed2'},{11.38}
302,{'0x4bea68d7'},{11.3806}
303,{'0x9dbf'},{11.3813}
304,{'0x10082769'},{11.3819}
305,{'0xcc01c980'},{11.3863}
306,{'0x82bdd2ba'},{11.3863}
307,{'0xb445888'},{11.3888}
308,{'0xd40275ab'},{11.39}
309,{'0x5285626c'},{11.3931}
310,{'0x6c4cc02f'},{11.3944}
311,{'0x78cbaacd'},{11.3963}
312,{'0xcc8876a2'},{11.3963}
313,{'0x8a619a8'},{11.3969}
314,{'0x68b7'},{11.3988}
315,{'0x39755a6c'},{11.4006}
316,{'0x5a8bb04d'},{11.4025}
317,{'0x101d748d'},{11.4031}
318,{'0xa3e7fad6'},{11.4062}
319,{'0x3a265ff5'},{11.4094}
320,{'0x90d46601'},{11.4194}
321,{'0x27c2f5f3'},{11.4206}
322,{'0x9875acfe'},{11.4212}
323,{'0x9547e984'},{11.4219}
324,{'0x6c92609c'},{11.4244}
325,{'0x734d'},{11.4262}
326,{'0xd57d'},{11.4294}
327,{'0xc41247b6'},{11.4338}
328,{'0xd340f3c5'},{11.4388}
329,{'0x1e4a730e'},{11.44}
330,{'0x2714e6a5'},{11.4406}
331,{'0x855a7618'},{11.4431}
332,{'0x3d44ab22'},{11.4431}
333,{'0x4195575f'},{11.4431}
334,{'0x1e3ecc3f'},{11.4456}
335,{'0xc326c808'},{11.4475}
336,{'0xcfd8e08a'},{11.4513}
337,{'0x187a574a'},{11.4513}
338,{'0x6fe39562'},{11.4519}
339,{'0xca99d030'},{11.4531}
340,{'0x2b9301c0'},{11.4538}
341,{'0x17ef8644'},{11.4594}
342,{'0x3d812b5d'},{11.4725}
343,{'0xf525399b'},{11.4838}
344,{'0x60d8f0fb'},{11.4856}
345,{'0x7e06'},{11.4888}
346,{'0x8a297a60'},{11.4938}
347,{'0xf3e5aade'},{11.495}
348,{'0x9a2d23ef'},{11.5044}
349,{'0x6454f0db'},{11.5069}
350,{'0xcddaaaa'},{11.5069}
351,{'0xfa135af5'},{11.5163}
352,{'0x3a504577'},{11.5219}
353,{'0x1e34bc1b'},{11.5344}
354,{'0x5a950925'},{11.5356}
355,{'0x8a03e685'},{11.5431}
356,{'0x3ef276f7'},{11.5475}
357,{'0x43563127'},{11.5488}
358,{'0x975d8265'},{11.5488}
359,{'0x4a0b32e5'},{11.5519}
