bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
0,0x0000000000000001,185,-0.000399,0.221121,0.000240,2.006
1,0x0000000000000002,184,-0.000387,0.216916,0.000016,1.436
2,0x0000000000000004,185,-0.000435,0.219941,-0.000188,1.461
3,0x0000000000000008,184,-0.000483,0.224739,-0.000094,1.586
4,0x0000000000000010,184,-0.000361,0.219532,0.000348,1.590
5,0x0000000000000020,185,-0.000480,0.217233,-0.000146,1.603
6,0x0000000000000040,183,-0.000349,0.220172,0.000195,1.527
7,0x0000000000000080,184,-0.000423,0.215132,0.000177,1.510
8,0x0000000000000100,184,-0.000366,0.216426,-0.000212,1.700
9,0x0000000000000200,186,-0.000453,0.221942,-0.000212,2.111
10,0x0000000000000400,184,-0.000405,0.219139,-0.000063,1.703
11,0x0000000000000800,184,-0.000362,0.221005,-0.000132,1.491
12,0x0000000000001000,184,-0.000389,0.223023,-0.000122,1.595
13,0x0000000000002000,184,-0.000436,0.217203,-0.000015,1.619
14,0x0000000000004000,184,-0.000392,0.223985,0.000020,1.845
15,0x0000000000008000,185,-0.000460,0.221978,0.000022,2.044
16,0x0000000000010000,185,-0.000409,0.219811,0.000061,1.550
17,0x0000000000020000,185,-0.000434,0.211629,-0.000025,1.502
18,0x0000000000040000,184,-0.000368,0.217057,0.000191,1.829
19,0x0000000000080000,184,-0.000394,0.216092,0.000226,1.649
20,0x0000000000100000,185,-0.000340,0.222826,-0.000044,1.563
21,0x0000000000200000,185,-0.000401,0.217916,0.000043,1.481
22,0x0000000000400000,184,-0.000478,0.220690,0.000031,1.357
23,0x0000000000800000,184,-0.000359,0.218453,-0.000120,1.518
24,0x0000000001000000,184,-0.000366,0.218626,-0.000033,1.647
25,0x0000000002000000,185,-0.000400,0.219279,-0.000047,2.139
26,0x0000000004000000,184,-0.000429,0.217867,0.000059,1.622
27,0x0000000008000000,185,-0.000425,0.220107,-0.000005,1.691
28,0x0000000010000000,185,-0.000504,0.218040,-0.000034,1.759
29,0x0000000020000000,182,-0.000423,0.224445,-0.000150,1.648
30,0x0000000040000000,184,-0.000437,0.219667,0.000010,1.758
31,0x0000000080000000,184,-0.000443,0.217510,0.000017,2.202
32,0x0000000100000000,185,-0.000356,0.214827,0.000682,1.493
33,0x0000000200000000,184,-0.000467,0.220754,-0.000082,1.549
34,0x0000000400000000,184,-0.000389,0.219317,-0.000125,1.495
35,0x0000000800000000,184,-0.000462,0.222703,0.000006,1.309
36,0x0000001000000000,184,-0.000326,0.216301,0.000655,1.257
37,0x0000002000000000,184,-0.000446,0.221056,0.000089,1.377
38,0x0000004000000000,184,-0.000486,0.219352,0.000599,1.264
39,0x0000008000000000,185,-0.000483,0.218821,0.000325,1.542
40,0x0000010000000000,184,-0.000465,0.218653,-0.000167,1.288
41,0x0000020000000000,185,-0.000465,0.222654,0.000118,1.306
42,0x0000040000000000,184,-0.000443,0.218750,0.000178,1.491
43,0x0000080000000000,184,-0.000437,0.219152,0.000039,1.626
44,0x0000100000000000,184,-0.000393,0.221953,0.000063,2.299
45,0x0000200000000000,184,-0.000405,0.218289,0.000675,1.566
46,0x0000400000000000,184,-0.000460,0.219272,-0.000144,1.536
47,0x0000800000000000,184,-0.000431,0.223069,0.000114,1.359
48,0x0001000000000000,184,-0.000337,0.222025,0.000223,1.382
49,0x0002000000000000,186,-0.000392,0.216918,-0.000207,1.406
50,0x0004000000000000,185,-0.000381,0.219719,0.000179,1.595
51,0x0008000000000000,185,-0.000422,0.221768,0.000019,1.582
52,0x0010000000000000,185,-0.000444,0.216780,-0.000168,1.398
53,0x0020000000000000,185,-0.000401,0.224189,0.000041,1.548
54,0x0040000000000000,184,-0.000501,0.214436,0.000272,1.441
55,0x0080000000000000,185,-0.000395,0.220039,-0.000193,1.556
56,0x0100000000000000,184,-0.000402,0.219969,-0.000039,1.402
57,0x0200000000000000,183,-0.000451,0.219398,-0.000067,1.406
58,0x0400000000000000,183,-0.000405,0.217848,-0.000144,1.495
59,0x0800000000000000,186,-0.000446,0.221005,0.000040,1.480
60,0x1000000000000000,185,-0.000414,0.216852,0.000076,1.259
61,0x2000000000000000,186,-0.000481,0.217240,-0.000004,1.398
62,0x4000000000000000,184,-0.000452,0.215147,-0.000119,1.246
63,0x8000000000000000,183,-0.000307,0.223102,-0.000198,1.249
