Best bit: 9  | silhouette_true=0.44660
bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,0.2433008849620819,0.45276597142219543,5855.94921875,0.04927865415811539
1,0.2253899872303009,0.46132978796958923,5849.361328125,0.04909569025039673
2,0.2338963896036148,0.47466614842414856,6151.36865234375,0.053191669285297394
3,0.24474015831947327,0.48480433225631714,5947.43359375,0.05332919955253601
4,0.2623617351055145,0.4948481321334839,5811.7353515625,0.05373046547174454
5,0.2749158442020416,0.48163047432899475,5833.3505859375,0.05285497382283211
6,0.277332067489624,0.4831748604774475,5652.01318359375,0.05155742168426514
7,0.2548346221446991,0.45653149485588074,5867.6318359375,0.05030851811170578
8,0.23642072081565857,0.45354244112968445,5916.0556640625,0.0493631511926651
9,0.4466010332107544,0.5319415330886841,6726.2333984375,0.07058142870664597
10,0.3640947639942169,0.5018901228904724,6008.994140625,0.05850398540496826
11,0.2967512309551239,0.4701858460903168,6019.2314453125,0.054152220487594604
12,0.285506010055542,0.486848920583725,5837.283203125,0.053746528923511505
13,0.2883998155593872,0.47998955845832825,5778.21875,0.052556656301021576
14,0.2786637842655182,0.47965487837791443,5751.30029296875,0.05179476737976074
15,0.2694224417209625,0.4690327048301697,5767.271484375,0.050282806158065796
16,0.07019025087356567,0.345551073551178,5034.7138671875,0.033080410212278366
17,0.06369432061910629,0.3526395559310913,5057.27734375,0.03285786136984825
18,0.06384704262018204,0.34534502029418945,5111.6591796875,0.033447813242673874
19,0.06483341753482819,0.34488120675086975,5168.2109375,0.03425454720854759
20,0.07213661819696426,0.3487982749938965,5157.3359375,0.03414706140756607
21,0.06761699169874191,0.3447186052799225,5099.1474609375,0.033516060560941696
22,0.07230076193809509,0.356174111366272,5091.3232421875,0.034065522253513336
23,0.06655456870794296,0.36621642112731934,4982.6025390625,0.03361150249838829
24,0.06284356117248535,0.35867059230804443,4908.013671875,0.033031150698661804
25,0.21789118647575378,0.4150334596633911,5710.38818359375,0.04418095946311951
26,0.12751860916614532,0.3646529018878937,5339.2705078125,0.03680217266082764
27,0.07933135330677032,0.348837286233902,5276.06396484375,0.035007163882255554
28,0.07660839706659317,0.34484532475471497,5113.38330078125,0.034459516406059265
29,0.08550165593624115,0.36010029911994934,5274.17236328125,0.03546799719333649
30,0.08899226039648056,0.35278329253196716,5233.13134765625,0.03505626320838928
31,0.07571500539779663,0.33646726608276367,5152.50341796875,0.03341144695878029
32,0.001560293254442513,0.3196965157985687,3941.74267578125,0.02478008344769478
33,0.004752138629555702,0.3524153232574463,3819.529541015625,0.02547144517302513
34,0.0009281454258598387,0.3165779709815979,3960.2255859375,0.024855636060237885
35,0.001845036749728024,0.33068230748176575,3948.43408203125,0.025334082543849945
36,0.0013423828640952706,0.32437509298324585,3945.47509765625,0.024987313896417618
37,0.004438892472535372,0.34693706035614014,3839.7294921875,0.025351889431476593
38,0.0024147871881723404,0.33436042070388794,3884.637939453125,0.02507437765598297
39,0.0016419902676716447,0.3162580132484436,3978.415283203125,0.0248119980096817
40,0.0009166515083052218,0.31800636649131775,3927.072998046875,0.024609949439764023
41,0.052843403071165085,0.34793075919151306,4462.59765625,0.029466714709997177
42,0.012723749503493309,0.35242435336112976,4174.39111328125,0.02769237756729126
43,0.003288830164819956,0.331067830324173,3926.069091796875,0.02525472640991211
44,0.0015341073740273714,0.3143369257450104,4038.87255859375,0.02508224919438362
45,0.004851453937590122,0.3365904688835144,3942.80029296875,0.02554856613278389
46,0.003894620109349489,0.3257749080657959,4014.35400390625,0.025584712624549866
47,0.007715752348303795,0.3534556031227112,3882.88525390625,0.025915201753377914
48,0.00022108573466539383,0.30751320719718933,3909.98779296875,0.024095788598060608
49,0.00012253782188054174,0.31523239612579346,3909.9765625,0.02440822124481201
50,-7.798104343237355e-05,0.3074253797531128,3874.986083984375,0.02384316176176071
51,-3.574802030925639e-05,0.31109246611595154,3894.265625,0.024056389927864075
52,6.4033447415567935e-06,0.30836763978004456,3892.517333984375,0.023933611810207367
53,-0.00012518666335381567,0.3099047541618347,3909.69287109375,0.02411879599094391
54,0.0002014468627749011,0.3142850697040558,3847.45166015625,0.02393002063035965
55,6.89708540448919e-05,0.31076568365097046,3918.86279296875,0.024194888770580292
56,9.576310549164191e-05,0.31018465757369995,3875.0927734375,0.023926857858896255
57,-1.0295790161762852e-05,0.3080650866031647,3949.151123046875,0.024306079372763634
58,-0.00010558745998423547,0.3098849058151245,3870.753173828125,0.023887790739536285
59,0.00021767354337498546,0.3075094223022461,3901.544677734375,0.024050801992416382
60,0.00012557534500956535,0.30902108550071716,3879.519775390625,0.023908086121082306
61,-7.045137317618355e-05,0.30579647421836853,3925.84814453125,0.02409994602203369
62,-0.00010711503273341805,0.3099324107170105,3854.863525390625,0.023806452751159668
63,-0.00010908409603871405,0.30682241916656494,3878.6494140625,0.02382347546517849
