epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.7461659908294678,0.0020000000949949026,0.32315340638160706,0.6349700093269348,0.28180769085884094
1,0.8205959796905518,0.0017888889415189624,0.16476958990097046,0.8081200122833252,0.1755080223083496
2,0.8265389800071716,0.0015777777880430222,0.1461462825536728,0.8110700249671936,0.15788045525550842
3,0.8294900059700012,0.001366666634567082,0.13958048820495605,0.8060200214385986,0.1553124040365219
4,0.8314989805221558,0.0011555555975064635,0.13499775528907776,0.8293600082397461,0.1367708444595337
5,0.8330190181732178,0.0009444444440305233,0.13166444003582,0.826259970664978,0.1371058076620102
6,0.8347679972648621,0.000733333348762244,0.12835542857646942,0.8188599944114685,0.1405085027217865
7,0.8365010023117065,0.0005222221952863038,0.12536609172821045,0.8130499720573425,0.13760100305080414
8,0.8396779894828796,0.00031111110001802444,0.12159324437379837,0.8336099982261658,0.1268850713968277
9,0.8421469926834106,9.999999747378752e-05,0.11833581328392029,0.8447999954223633,0.11751753091812134
10,0.8316329717636108,0.0020000000949949026,0.1379648894071579,0.8045399785041809,0.15288440883159637
11,0.8347110152244568,0.0017888889415189624,0.13231563568115234,0.826740026473999,0.13809816539287567
12,0.8357939720153809,0.0015777777880430222,0.1297803521156311,0.8194800019264221,0.13945114612579346
13,0.8368290066719055,0.001366666634567082,0.12733176350593567,0.8361799716949463,0.13123002648353577
14,0.8385940194129944,0.0011555555975064635,0.1247325986623764,0.8357700109481812,0.12820473313331604
