epoch,acc,loss,val_acc,val_loss
0,0.5003769993782043,0.25056686997413635,0.499671995639801,0.25044798851013184
1,0.5004169940948486,0.25044599175453186,0.4982680082321167,0.2504149079322815
2,0.500482976436615,0.25047996640205383,0.49968400597572327,0.2504805326461792
3,0.5000969767570496,0.25052618980407715,0.5007719993591309,0.2506219446659088
4,0.4993700087070465,0.25047388672828674,0.5003200173377991,0.25040867924690247
5,0.4996820092201233,0.25036460161209106,0.49978798627853394,0.250335693359375
6,0.4994960129261017,0.25032880902290344,0.4993320107460022,0.2503018081188202
7,0.5004349946975708,0.25033578276634216,0.5003759860992432,0.25049442052841187
8,0.49989598989486694,0.2503264546394348,0.49996399879455566,0.25037193298339844
9,0.5004439949989319,0.2503356635570526,0.49824801087379456,0.2504872679710388
