epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.9020090103149414,0.0020000000949949026,0.21298940479755402,0.5,0.5285856127738953
1,0.9339069724082947,0.0017888889415189624,0.07570698112249374,0.5017200112342834,0.4270126223564148
2,0.9367470145225525,0.0015777777880430222,0.06384975463151932,0.9266300201416016,0.07329469919204712
3,0.9406949877738953,0.001366666634567082,0.058437786996364594,0.9340299963951111,0.06496163457632065
4,0.9454360008239746,0.0011555555975064635,0.0541236512362957,0.9433599710464478,0.056285858154296875
5,0.9467560052871704,0.0009444444440305233,0.0512496717274189,0.9442099928855896,0.05377908796072006
6,0.9477180242538452,0.000733333348762244,0.048891447484493256,0.9457700252532959,0.05092202499508858
7,0.949275016784668,0.0005222221952863038,0.04608025774359703,0.9470900297164917,0.048010457307100296
8,0.9505559802055359,0.00031111110001802444,0.04369274154305458,0.9345899820327759,0.05463626980781555
9,0.9524980187416077,9.999999747378752e-05,0.04105321690440178,0.9530400037765503,0.04129413142800331
10,0.9447979927062988,0.0020000000949949026,0.05809713155031204,0.9078099727630615,0.08383867889642715
11,0.9488459825515747,0.0017888889415189624,0.05356103554368019,0.94691002368927,0.055380042642354965
12,0.9525349736213684,0.0015777777880430222,0.049970634281635284,0.9531800150871277,0.04995125159621239
13,0.9545000195503235,0.001366666634567082,0.04699762910604477,0.9281600117683411,0.06748484075069427
14,0.9550110101699829,0.0011555555975064635,0.044651150703430176,0.9547100067138672,0.044430650770664215
