epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.9930059909820557,0.0020000000949949026,0.09952210634946823,0.5,0.43836942315101624
1,0.9980790019035339,0.0017888889415189624,0.010196274146437645,0.5,0.4607357382774353
2,0.9983429908752441,0.0015777777880430222,0.006032382603734732,0.9890199899673462,0.012441983446478844
3,0.9983850121498108,0.001366666634567082,0.004951287992298603,0.9900100231170654,0.012069014832377434
4,0.9985439777374268,0.0011555555975064635,0.004242619499564171,0.9916999936103821,0.013592707924544811
5,0.9985650181770325,0.0009444444440305233,0.0038937036879360676,0.9984999895095825,0.0038474248722195625
6,0.9987339973449707,0.000733333348762244,0.0033065835013985634,0.9960100054740906,0.0052974894642829895
7,0.99891197681427,0.0005222221952863038,0.0027042750734835863,0.9931399822235107,0.006993133574724197
8,0.999085009098053,0.00031111110001802444,0.0021046616602689028,0.9975799918174744,0.003237361554056406
9,0.9993150234222412,9.999999747378752e-05,0.001554695307277143,0.9926499724388123,0.006473081186413765
10,0.997642993927002,0.0020000000949949026,0.01606610044836998,0.7562000155448914,0.14626482129096985
11,0.9982510209083557,0.0017888889415189624,0.005561529193073511,0.9763000011444092,0.039596185088157654
12,0.9983879923820496,0.0015777777880430222,0.004829611163586378,0.9938300251960754,0.011486059986054897
13,0.998524010181427,0.001366666634567082,0.004391287919133902,0.998170018196106,0.004762083757668734
