epoch,acc,loss,val_acc,val_loss
0,0.5349889993667603,0.2562738060951233,0.5348119735717773,0.2550787925720215
1,0.5413519740104675,0.2539110779762268,0.5412200093269348,0.25418657064437866
2,0.5413169860839844,0.2533743679523468,0.5378680229187012,0.25336378812789917
3,0.5430619716644287,0.25291162729263306,0.5419319868087769,0.2531062066555023
4,0.542273998260498,0.252631276845932,0.5413439869880676,0.25417399406433105
5,0.5420100092887878,0.2527775168418884,0.5367839932441711,0.25339171290397644
6,0.541375994682312,0.25260424613952637,0.5400239825248718,0.25237759947776794
7,0.5429069995880127,0.2524983882904053,0.5398079752922058,0.2540595233440399
8,0.5429549813270569,0.25219619274139404,0.5388720035552979,0.25271737575531006
9,0.5434209704399109,0.25169137120246887,0.5350800156593323,0.2524763345718384
10,0.5432199835777283,0.25157368183135986,0.5411760210990906,0.25281938910484314
11,0.5432450175285339,0.252483069896698,0.5331439971923828,0.2529948651790619
12,0.5422449707984924,0.25212275981903076,0.5417280197143555,0.2525222599506378
13,0.5433740019798279,0.25173795223236084,0.5418599843978882,0.2521100342273712
14,0.544215977191925,0.2513391375541687,0.535040020942688,0.2532416880130768
