epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.9574549794197083,0.0020000000949949026,0.17906756699085236,0.5000100135803223,0.4161582291126251
1,0.9803370237350464,0.0017888889415189624,0.04132557660341263,0.8430799841880798,0.1278945356607437
2,0.9857079982757568,0.0015777777880430222,0.030703209340572357,0.9515900015830994,0.058789461851119995
3,0.992389976978302,0.001366666634567082,0.024683883413672447,0.9637500047683716,0.04936753958463669
4,0.9945369958877563,0.0011555555975064635,0.021267402917146683,0.9934099912643433,0.02191327139735222
5,0.995585024356842,0.0009444444440305233,0.017303988337516785,0.9722099900245667,0.03509248420596123
6,0.996300995349884,0.000733333348762244,0.01440406683832407,0.9787700176239014,0.027777118608355522
7,0.9971669912338257,0.0005222221952863038,0.010484002530574799,0.9959999918937683,0.010794715955853462
8,0.9978150129318237,0.00031111110001802444,0.007623033132404089,0.9774799942970276,0.022192606702446938
9,0.9985190033912659,9.999999747378752e-05,0.005479955114424229,0.9983800053596497,0.0048403614200651646
10,0.9828850030899048,0.0020000000949949026,0.07060972601175308,0.5,0.48141756653785706
11,0.9957910180091858,0.0017888889415189624,0.01906644180417061,0.9100599884986877,0.08276210725307465
12,0.9961410164833069,0.0015777777880430222,0.015242286957800388,0.8324300050735474,0.12815700471401215
13,0.9965749979019165,0.001366666634567082,0.01266262587159872,0.9938499927520752,0.014569836668670177
14,0.9970269799232483,0.0011555555975064635,0.010696993209421635,0.9934800267219543,0.012709507718682289
