Best bit: 12  | silhouette_true=0.51414s
bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,0.5065804719924927,0.5200148820877075,5535.45556640625,0.057102955877780914
1,0.5065888166427612,0.5190906524658203,5640.23193359375,0.05789824575185776
2,0.5027663707733154,0.5159680247306824,5623.2138671875,0.05763375014066696
3,0.5110463500022888,0.5239815711975098,5541.71044921875,0.05802077427506447
4,0.5113064646720886,0.5228613018989563,5524.0537109375,0.05770231410861015
5,0.5080500245094299,0.5200080275535583,5554.41015625,0.05777677893638611
6,0.5090632438659668,0.522331178188324,5522.51025390625,0.05743461847305298
7,0.5124174952507019,0.5226417779922485,5517.40185546875,0.05738368257880211
8,0.5036460757255554,0.5156965851783752,5587.03662109375,0.05734006315469742
9,0.5098451375961304,0.5225629806518555,5560.3193359375,0.05773400142788887
10,0.5101422667503357,0.5224589109420776,5578.48193359375,0.0580252967774868
11,0.5123000144958496,0.5250737071037292,5484.30224609375,0.05754523351788521
12,0.5141435861587524,0.5250616669654846,5500.2548828125,0.05767427384853363
13,0.5084889531135559,0.5214046239852905,5537.654296875,0.05764627456665039
14,0.5087721943855286,0.5224830508232117,5534.02880859375,0.05765106901526451
15,0.5117518305778503,0.5241350531578064,5511.044921875,0.05754236876964569
16,0.3080750107765198,0.3856390118598938,5422.4599609375,0.0397745817899704
17,0.30048391222953796,0.38159799575805664,5450.6953125,0.03977682441473007
18,0.3049829602241516,0.3817254900932312,5405.24462890625,0.03955385088920593
19,0.30533862113952637,0.37774330377578735,5442.03369140625,0.03975583612918854
20,0.2911299765110016,0.3779616057872772,5514.6669921875,0.039961494505405426
21,0.30505719780921936,0.3821794092655182,5470.90771484375,0.039985544979572296
22,0.308400958776474,0.3861195743083954,5463.69775390625,0.040106095373630524
23,0.2983235716819763,0.37773990631103516,5483.6796875,0.03977079689502716
24,0.31395167112350464,0.39191514253616333,5386.26416015625,0.04019336402416229
25,0.3032943904399872,0.3797602355480194,5432.59326171875,0.039527006447315216
26,0.3133590817451477,0.3837699294090271,5439.3349609375,0.040079809725284576
27,0.3022400438785553,0.38066527247428894,5449.1337890625,0.039759062230587006
28,0.29908230900764465,0.3801468312740326,5423.07275390625,0.039630308747291565
29,0.30305176973342896,0.3786701261997223,5482.2724609375,0.03983619809150696
30,0.314975768327713,0.38642618060112,5397.123046875,0.039873406291007996
31,0.31458911299705505,0.3894136846065521,5395.6826171875,0.039913732558488846
32,0.08663573116064072,0.40194830298423767,4430.158203125,0.03125501424074173
33,0.07747016847133636,0.4120871126651764,4273.04931640625,0.030800314620137215
34,0.07257068157196045,0.3770534098148346,4498.34521484375,0.031005291268229485
35,0.07585936039686203,0.40212124586105347,4289.2548828125,0.03058960661292076
36,0.07985379546880722,0.3915075957775116,4383.10693359375,0.03087548352777958
37,0.07651426643133163,0.3936357796192169,4394.31689453125,0.030925452709197998
38,0.07718779146671295,0.39872604608535767,4392.9794921875,0.031088341027498245
39,0.06361092627048492,0.3918552100658417,4424.029296875,0.031047096475958824
40,0.0805438756942749,0.3844006359577179,4455.7587890625,0.030925370752811432
41,0.08362973481416702,0.3973456025123596,4382.73046875,0.031016752123832703
42,0.07567866891622543,0.37645453214645386,4573.20556640625,0.03126964345574379
43,0.07868905365467072,0.39808547496795654,4385.015625,0.03097553364932537
44,0.07620011270046234,0.3982468843460083,4396.8828125,0.031081777065992355
45,0.07523800432682037,0.39830824732780457,4414.07373046875,0.031144924461841583
46,0.0727444738149643,0.3937646746635437,4404.73974609375,0.03099030628800392
47,0.07413388043642044,0.39558202028274536,4371.41552734375,0.03077605552971363
48,0.0029674943070858717,0.3223561942577362,3999.235595703125,0.025244373828172684
49,0.004374559968709946,0.3427464962005615,3862.415283203125,0.02524634264409542
50,0.004931159783154726,0.32959580421447754,3956.0927734375,0.025235392153263092
51,0.0019883199129253626,0.3210189938545227,3952.08447265625,0.024917669594287872
52,0.0047269901260733604,0.3375013768672943,3899.513916015625,0.025221291929483414
53,0.003175580408424139,0.32852286100387573,3984.63134765625,0.02548450417816639
54,0.002981191501021385,0.3429684042930603,3891.10107421875,0.025385398417711258
55,0.002800192218273878,0.3345949351787567,3948.14794921875,0.02536695823073387
56,0.0028218375518918037,0.3278672993183136,3919.3125,0.025054600089788437
57,0.002008125651627779,0.3284965753555298,3912.314697265625,0.02495541237294674
58,0.0025442554615437984,0.32271382212638855,3913.854248046875,0.024736862629652023
59,0.0025059578474611044,0.32221752405166626,3981.284423828125,0.025107216089963913
60,0.0023571173660457134,0.3294368386268616,3897.913818359375,0.024919115006923676
61,0.0027191159315407276,0.32373324036598206,4040.67138671875,0.02558554895222187
62,0.002099331934005022,0.3219936788082123,3927.721923828125,0.02487265132367611
63,0.00410222914069891,0.32135429978370667,3987.922119140625,0.02520265430212021
