epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.6188870072364807,0.0020000000949949026,0.41016721725463867,0.5,0.45498180389404297
1,0.8414729833602905,0.0017888889415189624,0.15804870426654816,0.5281800031661987,0.36299118399620056
2,0.8754400014877319,0.0015777777880430222,0.12558506429195404,0.8177700042724609,0.1643788069486618
3,0.8816220164299011,0.001366666634567082,0.1159106120467186,0.6729599833488464,0.2516288161277771
4,0.8849210143089294,0.0011555555975064635,0.10955765843391418,0.7971000075340271,0.16605854034423828
5,0.8889150023460388,0.0009444444440305233,0.10309682041406631,0.7678800225257874,0.18213582038879395
6,0.8922839760780334,0.000733333348762244,0.0977049320936203,0.8178499937057495,0.1465870589017868
7,0.9001060128211975,0.0005222221952863038,0.08935361355543137,0.8529700040817261,0.1186608225107193
8,0.9238979816436768,0.00031111110001802444,0.07144378125667572,0.9297800064086914,0.06936630606651306
9,0.943386971950531,9.999999747378752e-05,0.055972762405872345,0.9465399980545044,0.054336655884981155
10,0.9348940253257751,0.0020000000949949026,0.09176988154649734,0.7637900114059448,0.23037590086460114
11,0.9489750266075134,0.0017888889415189624,0.07113748788833618,0.8988500237464905,0.10376711189746857
12,0.9529910087585449,0.0015777777880430222,0.06213439628481865,0.9473400115966797,0.06552359461784363
13,0.9556729793548584,0.001366666634567082,0.05604928359389305,0.9478700160980225,0.0633462518453598
14,0.957834005355835,0.0011555555975064635,0.051062993705272675,0.9572799801826477,0.05173114314675331
15,0.9595969915390015,0.0009444444440305233,0.04659167677164078,0.9526900053024292,0.050829775631427765
16,0.9613620042800903,0.000733333348762244,0.042806465178728104,0.958869993686676,0.04451041668653488
17,0.9631140232086182,0.0005222221952863038,0.039155323058366776,0.9632499814033508,0.03888971731066704
18,0.9646940231323242,0.00031111110001802444,0.035879313945770264,0.9641900062561035,0.03580889850854874
19,0.966234028339386,9.999999747378752e-05,0.03352968022227287,0.9693099856376648,0.031130658462643623
