epoch,acc,loss,val_acc,val_loss
0,0.5695170164108276,0.24772341549396515,0.5703960061073303,0.24629347026348114
1,0.5706160068511963,0.24574889242649078,0.5693680047988892,0.24571546912193298
2,0.5719389915466309,0.24514426290988922,0.572655975818634,0.24488027393817902
3,0.5736160278320312,0.24448837339878082,0.5748479962348938,0.24458909034729004
4,0.5740609765052795,0.24432729184627533,0.5732439756393433,0.24431103467941284
5,0.5751299858093262,0.24390631914138794,0.5764520168304443,0.24371545016765594
6,0.5777119994163513,0.24342408776283264,0.5807399749755859,0.24330896139144897
7,0.580843985080719,0.2426866590976715,0.5808799862861633,0.24275846779346466
8,0.5834069848060608,0.24226538836956024,0.5819720029830933,0.24290743470191956
9,0.5848010182380676,0.24180066585540771,0.5855280160903931,0.24197648465633392
