epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.5691850185394287,0.0020000000949949026,0.41772323846817017,0.6160200238227844,0.2972199618816376
1,0.7340700030326843,0.0017888889415189624,0.21553997695446014,0.6730200052261353,0.23742099106311798
2,0.7871710062026978,0.0015777777880430222,0.1759602278470993,0.7275999784469604,0.20848381519317627
3,0.7981619834899902,0.001366666634567082,0.16464115679264069,0.7914999723434448,0.1707329899072647
4,0.8018230199813843,0.0011555555975064635,0.1589508056640625,0.7967299818992615,0.16254562139511108
5,0.805171012878418,0.0009444444440305233,0.1542377918958664,0.7943400144577026,0.1620783656835556
6,0.8072569966316223,0.000733333348762244,0.15011043846607208,0.8025100231170654,0.155086949467659
7,0.8112390041351318,0.0005222221952863038,0.14523141086101532,0.8047400116920471,0.15523602068424225
8,0.8146910071372986,0.00031111110001802444,0.14056016504764557,0.8143799901008606,0.1435038149356842
9,0.8182569742202759,9.999999747378752e-05,0.1365841180086136,0.8137400150299072,0.13963663578033447
10,0.8023120164871216,0.0020000000949949026,0.16305658221244812,0.7949000000953674,0.1653272807598114
11,0.8079419732093811,0.0017888889415189624,0.15546360611915588,0.7913299798965454,0.16637729108333588
12,0.8088740110397339,0.0015777777880430222,0.15234124660491943,0.7956600189208984,0.16041181981563568
13,0.8120700120925903,0.001366666634567082,0.14813359081745148,0.8084999918937683,0.15105850994586945
14,0.816851019859314,0.0011555555975064635,0.1438758373260498,0.7714999914169312,0.17288872599601746
