epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.9575819969177246,0.0020000000949949026,0.17515549063682556,0.5,0.5212961435317993
1,0.9765490293502808,0.0017888889415189624,0.03884977474808693,0.5,0.5046570897102356
2,0.9788159728050232,0.0015777777880430222,0.03138786554336548,0.9744399785995483,0.03555057570338249
3,0.980879008769989,0.001366666634567082,0.028175825253129005,0.9711099863052368,0.03531833365559578
4,0.9826170206069946,0.0011555555975064635,0.025036968290805817,0.9565799832344055,0.043399009853601456
5,0.9835389852523804,0.0009444444440305233,0.022853843867778778,0.9597799777984619,0.04034806042909622
6,0.9840909838676453,0.000733333348762244,0.020868491381406784,0.9820500016212463,0.022332534193992615
7,0.9851239919662476,0.0005222221952863038,0.018611086532473564,0.9459499716758728,0.04603129252791405
8,0.9865509867668152,0.00031111110001802444,0.015947015956044197,0.9603899717330933,0.03454377129673958
9,0.9877470135688782,9.999999747378752e-05,0.01387894805520773,0.988099992275238,0.013204427435994148
10,0.9822160005569458,0.0020000000949949026,0.0318114310503006,0.9568799734115601,0.052980560809373856
11,0.9838629961013794,0.0017888889415189624,0.027556883171200752,0.9431700110435486,0.05984019115567207
12,0.9843909740447998,0.0015777777880430222,0.0252492967993021,0.984529972076416,0.025792334228754044
13,0.9851499795913696,0.001366666634567082,0.02277955412864685,0.9837999939918518,0.02364799566566944
14,0.9853360056877136,0.0011555555975064635,0.02080851048231125,0.9849900007247925,0.021601064130663872
