epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.5037199854850769,0.0020000000949949026,0.4438246786594391,0.5,0.2913350760936737
1,0.5057669878005981,0.0017888889415189624,0.2708742618560791,0.5002400279045105,0.260331928730011
2,0.5091059803962708,0.0015777777880430222,0.2570493519306183,0.5003299713134766,0.25560396909713745
3,0.5113379955291748,0.001366666634567082,0.2546239495277405,0.5002599954605103,0.254934698343277
4,0.5134069919586182,0.0011555555975064635,0.25308749079704285,0.5062500238418579,0.2541210651397705
5,0.5178430080413818,0.0009444444440305233,0.25295621156692505,0.5065000057220459,0.25582122802734375
6,0.5302280187606812,0.000733333348762244,0.25257447361946106,0.5131000280380249,0.25715434551239014
7,0.5470269918441772,0.0005222221952863038,0.25284746289253235,0.5346800088882446,0.25507593154907227
8,0.5526880025863647,0.00031111110001802444,0.2512851357460022,0.5547800064086914,0.2509433329105377
9,0.556801974773407,9.999999747378752e-05,0.24944348633289337,0.5528900027275085,0.24994781613349915
10,0.5340129733085632,0.0020000000949949026,0.2611345946788788,0.5,0.38021034002304077
11,0.5418519973754883,0.0017888889415189624,0.25881844758987427,0.5001099705696106,0.27787286043167114
12,0.5454319715499878,0.0015777777880430222,0.25743618607521057,0.5004799962043762,0.26221606135368347
13,0.546841025352478,0.001366666634567082,0.25583019852638245,0.5,0.2913682460784912
14,0.5486729741096497,0.0011555555975064635,0.25451403856277466,0.5406799912452698,0.25608062744140625
