bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,0.01844950020313263,0.32397446036338806,4759.923828125,0.015117114409804344
1,0.06250438839197159,0.35310810804367065,5356.689453125,0.01760367676615715
2,0.03961717709898949,0.32403364777565,5073.74560546875,0.016052111983299255
3,0.02008219249546528,0.314226895570755,4566.9560546875,0.014280879870057106
4,0.011271638795733452,0.3117784261703491,4771.65966796875,0.014778739772737026
5,0.03386366739869118,0.31465664505958557,4920.720703125,0.015422191470861435
6,0.09417805075645447,0.326023668050766,6193.87451171875,0.019209761172533035
7,0.0513242669403553,0.31840091943740845,6173.4794921875,0.018735677003860474
8,0.015740683302283287,0.3199867904186249,4778.9990234375,0.015047494322061539
9,0.05041518434882164,0.3190059959888458,5268.8896484375,0.016493957489728928
10,0.08102608472108841,0.35899049043655396,6537.359375,0.020765086635947227
11,0.058715809136629105,0.3398151993751526,6065.31689453125,0.018955528736114502
12,0.052828483283519745,0.3214625418186188,5778.0,0.017791900783777237
13,0.08886540681123734,0.34117093682289124,7152.2841796875,0.021765977144241333
14,0.12680381536483765,0.42138686776161194,7608.4765625,0.02481536753475666
15,0.10946498811244965,0.3826584815979004,7037.69482421875,0.022716190665960312
16,0.04339943826198578,0.3289536237716675,4877.24609375,0.01566511020064354
17,0.19671757519245148,0.4305768609046936,6346.271484375,0.024155057966709137
18,0.1463872492313385,0.37695392966270447,5799.1298828125,0.020117629319429398
19,0.1450074166059494,0.3690411150455475,5573.71875,0.019335497170686722
20,0.1484738290309906,0.3707433342933655,5928.1669921875,0.020398609340190887
21,0.15125057101249695,0.33985745906829834,5324.64306640625,0.017529422417283058
22,0.14963410794734955,0.3557380437850952,5878.58642578125,0.01959501951932907
23,0.15461337566375732,0.35100916028022766,5738.61865234375,0.01904119923710823
24,0.09137656539678574,0.3286556899547577,5206.1103515625,0.01669883541762829
25,0.10096743702888489,0.33053141832351685,5000.337890625,0.01604875735938549
26,0.18228980898857117,0.3492988348007202,6281.70068359375,0.02072807028889656
27,0.1693122237920761,0.35452669858932495,6202.85205078125,0.020496200770139694
28,0.11378056555986404,0.3330966830253601,5864.130859375,0.018542956560850143
29,0.08282015472650528,0.3446965217590332,5434.9609375,0.017452288419008255
30,0.14183345437049866,0.35239261388778687,6381.82958984375,0.020595379173755646
31,0.13088105618953705,0.33533328771591187,5986.55078125,0.019011536613106728
32,0.050588179379701614,0.32820868492126465,4926.15625,0.015781890600919724
33,0.09408808499574661,0.33364084362983704,5287.3271484375,0.017122559249401093
34,0.11014921963214874,0.334426611661911,4944.40625,0.01616140455007553
35,0.08978399634361267,0.330859899520874,4936.3251953125,0.015972239896655083
36,0.10528728365898132,0.330136239528656,5582.17431640625,0.017794612795114517
37,0.2119482457637787,0.3931620121002197,6527.0625,0.02332078292965889
38,0.29507073760032654,0.5004618763923645,7796.515625,0.03492091968655586
39,0.24698808789253235,0.3969379961490631,6390.1845703125,0.023478444665670395
40,0.21954965591430664,0.38340070843696594,6608.53857421875,0.023270059376955032
41,0.14711272716522217,0.3368486762046814,5276.01123046875,0.017281867563724518
42,0.1465442031621933,0.3400014638900757,5959.87939453125,0.01926356926560402
43,0.14947739243507385,0.3366411030292511,5804.349609375,0.018823951482772827
44,0.0930999293923378,0.3446176052093506,5098.74267578125,0.016790349036455154
45,0.23385198414325714,0.3966991901397705,6647.845703125,0.02401077374815941
46,0.23246479034423828,0.40301406383514404,6703.95556640625,0.024735713377594948
47,0.19768331944942474,0.3857819139957428,6549.171875,0.023016229271888733
48,0.07519523054361343,0.36568495631217957,5252.19921875,0.0176253542304039
