epoch,acc,loss,val_acc,val_loss
0,0.5260199904441833,0.25846460461616516,0.5156440138816833,0.2587566375732422
1,0.5306640267372131,0.25586768984794617,0.5193719863891602,0.25621193647384644
2,0.5302720069885254,0.2557939291000366,0.5007039904594421,0.2640966475009918
3,0.5305089950561523,0.25516602396965027,0.5013960003852844,0.26691412925720215
4,0.5300469994544983,0.2555347681045532,0.5213000178337097,0.2554183900356293
5,0.5306119918823242,0.25447964668273926,0.5041800141334534,0.2574350833892822
6,0.5306869745254517,0.2557903528213501,0.5013960003852844,0.2610706388950348
7,0.5309290289878845,0.25491413474082947,0.521731972694397,0.25683411955833435
8,0.5311200022697449,0.25476276874542236,0.5170400142669678,0.25517457723617554
9,0.5312550067901611,0.25448355078697205,0.5298799872398376,0.25394168496131897
10,0.5315830111503601,0.25456589460372925,0.5100600123405457,0.2619907557964325
11,0.5303940176963806,0.2548426687717438,0.5002679824829102,0.2641393542289734
12,0.5309000015258789,0.2547648847103119,0.5249519944190979,0.25513002276420593
13,0.5308709740638733,0.2545451819896698,0.5001320242881775,0.28425806760787964
14,0.5315359830856323,0.2538340985774994,0.5271959900856018,0.2538321316242218
