epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.5393210053443909,0.0020000000949949026,0.44839391112327576,0.5000100135803223,0.31389954686164856
1,0.6409720182418823,0.0017888889415189624,0.27156496047973633,0.6549699902534485,0.2635028064250946
2,0.673550009727478,0.0015777777880430222,0.23836703598499298,0.5353500247001648,0.2744874060153961
3,0.6778730154037476,0.001366666634567082,0.22917021811008453,0.502240002155304,0.37803807854652405
4,0.6816409826278687,0.0011555555975064635,0.2231336236000061,0.5974000096321106,0.25563204288482666
5,0.6843180060386658,0.0009444444440305233,0.2193756252527237,0.6212599873542786,0.24310189485549927
6,0.6869890093803406,0.000733333348762244,0.21556195616722107,0.54926997423172,0.28176817297935486
7,0.688264012336731,0.0005222221952863038,0.2125501036643982,0.6605200171470642,0.22408777475357056
8,0.6925029754638672,0.00031111110001802444,0.20826606452465057,0.6820399761199951,0.2158893495798111
9,0.6956430077552795,9.999999747378752e-05,0.20455442368984222,0.6952099800109863,0.20561937987804413
10,0.6819959878921509,0.0020000000949949026,0.22884607315063477,0.5664899945259094,0.3152799606323242
11,0.6846550107002258,0.0017888889415189624,0.22253510355949402,0.6813700199127197,0.22309699654579163
12,0.6867750287055969,0.0015777777880430222,0.21916109323501587,0.6735399961471558,0.22573785483837128
13,0.689087986946106,0.001366666634567082,0.21622048318386078,0.6826099753379822,0.218891441822052
14,0.6903319954872131,0.0011555555975064635,0.21335017681121826,0.60903000831604,0.2461969405412674
